"y","x"
57.587525,-2.712498
54.977415,-3.274879
54.899292,-3.771451
55.403234,-5.737059
54.914383,-3.959336
55.872553,-4.167174
55.498626,-3.275838
55.638453,-4.646832
56.092203,-4.436726
55.377771,-5.687277
57.026076,-3.278292
55.399905,-5.547132
56.896636,-2.551546
55.790896,-4.210491
55.881531,-4.167674
55.917678,-2.473561
55.357597,-4.312488
54.984099,-3.478249
56.19398,-2.879827
55.382078,-4.440215
55.873933,-4.087323
55.900542,-2.13751
56.463029,-4.314335
55.810809,-4.099902
55.008408,-3.682431
55.889943,-4.200128
55.593575,-4.643808
55.970037,-2.778607
54.871888,-3.801419
55.334044,-3.522784
56.642128,-3.020682
56.437077,-2.804348
55.940789,-3.082205
54.947884,-3.828239
54.908254,-5.11358
55.658525,-5.76933
57.494454,-3.895305
55.017391,-3.682808
55.799874,-4.210999
55.07087,-4.264585
55.390422,-4.472312
55.6927,-4.17312
55.668212,-4.02865
56.417842,-4.327803
56.18511,-2.863513
55.563488,-4.356294
55.967307,-3.131009
57.603414,-3.817291
55.999796,-5.634045
55.556663,-2.786263
55.848098,-3.367127
57.429504,-3.358949
57.089186,-3.957096
55.894039,-3.272795
55.927352,-2.233625
56.164136,-3.925883
55.969392,-2.874722
55.223511,-4.273252
55.828007,-2.424582
56.382271,-2.932748
56.116526,-4.566965
55.999106,-3.51677
55.88522,-3.256519
55.11969,-4.926098
55.524011,-4.052906
55.752367,-2.017499
55.968989,-4.300766
57.03264,-4.118918
57.07526,-2.752131
55.845204,-3.6066
55.873643,-2.073489
57.041337,-4.135897
56.221155,-2.848197
56.047636,-4.417855
55.876492,-4.854887
56.007114,-2.570874
57.41886,-2.043271
54.949886,-4.476417
55.823835,-4.372015
56.798623,-2.320885
55.75975,-4.431881
55.737875,-4.159701
55.873548,-2.169377
55.949043,-3.162503
55.790608,-4.226426
56.074649,-3.182348
55.708931,-4.269532
55.852148,-6.307665
54.853692,-3.816186
55.73557,-4.287008
55.976754,-4.365342
55.701397,-4.189518
55.721621,-3.426388
55.948891,-3.178512
57.026408,-3.245355
56.784684,-3.892095
56.032391,-2.860099
56.372039,-4.373592
55.60763,-3.882633
55.017606,-3.667175
55.402751,-5.752816
55.602208,-4.660266
56.77808,-3.728093
55.776747,-3.986451
57.227033,-3.749041
56.039284,-4.385223
55.968387,-4.33278
56.15159,-3.538872
56.164385,-3.90979
55.930417,-3.930277
55.547678,-2.786084
55.634175,-3.200815
55.94006,-3.162234
56.332654,-4.063776
55.979923,-3.612183
55.971867,-2.394113
55.931227,-3.145963
56.174058,-3.120974
55.604895,-4.533426
55.400033,-4.441322
55.728938,-2.487195
55.554205,-4.371594
55.822271,-4.451747
56.753502,-3.547051
55.767767,-3.985994
55.359775,-3.618427
55.358882,-5.717089
55.555295,-2.976467
56.477879,-3.292273
57.268952,-4.464204
56.387586,-4.001948
55.879806,-4.263508
56.417827,-2.982247
55.438115,-3.020988
55.78377,-2.105208
55.963761,-3.467325
56.771435,-2.402458
56.107883,-4.550305
55.949193,-3.146494
55.665764,-4.171627
56.445954,-2.820757
55.940846,-4.363152
55.008623,-3.666802
55.969287,-4.284758
57.004864,-4.166741
55.554511,-4.355756
56.689381,-2.679115
55.78409,-4.560999
55.017173,-3.69844
55.828727,-2.057441
55.833793,-2.983436
56.554064,-2.774294
54.974733,-3.509153
55.367229,-2.892942
55.897761,-4.264554
57.452301,-2.793186
57.466463,-3.260289
56.716964,-3.594569
55.99813,-2.570742
55.368327,-5.702186
55.647082,-2.692738
55.703657,-3.425733
56.371406,-3.887751
55.892161,-4.072309
57.748992,-4.261511
57.239107,-4.130753
57.614022,-3.700634
55.511318,-2.848698
55.874203,-4.071352
55.873632,-2.08947
55.732169,-4.876198
55.881129,-3.608084
55.945216,-3.514662
57.257171,-2.04308
55.882589,-2.121461
57.617235,-4.085873
55.927408,-2.201619
55.412201,-5.737906
55.873661,-4.103294
55.997674,-3.628957
57.32705,-2.707447
55.408376,-4.473433
55.932083,-3.04995
55.987245,-2.891154
55.356709,-4.785776
55.897466,-4.280533
55.277497,-2.875185
57.603823,-2.963822
55.341601,-3.633454
56.014423,-2.8597
55.755801,-3.571051
56.10819,-4.051743
55.18251,-4.930704
55.348619,-4.311964
57.309621,-3.620145
57.244991,-3.749891
55.905601,-4.761017
56.07318,-3.326891
56.212172,-2.847999
55.373456,-5.528973
57.313795,-3.255059
55.855673,-2.073455
55.601585,-2.787162
57.950988,-4.003826
56.233395,-5.640017
55.90415,-4.824918
55.828601,-2.185144
55.899767,-4.616615
55.674614,-2.581921
56.187315,-4.620045
55.511427,-2.832865
55.964528,-4.044132
56.017125,-4.592457
55.56297,-3.864638
55.136116,-4.990071
57.119758,-2.819092
56.564257,-2.546698
56.190567,-3.95944
55.42939,-2.989158
55.429663,-3.763521
57.227715,-3.699377
56.076417,-4.323236
56.408971,-2.965812
55.765805,-4.575743
54.883165,-4.207267
57.264294,-3.651316
55.355063,-5.543117
56.074802,-3.166287
56.035412,-4.577629
55.890929,-3.544527
55.692418,-4.189016
55.986472,-3.788791
56.023407,-2.8599
56.183222,-4.378033
55.703845,-5.288045
56.582363,-2.514401
56.216466,-4.025271
57.703456,-2.84901
55.41103,-3.036084
55.409325,-4.426097
57.917666,-4.373416
55.449677,-2.641844
55.110426,-3.43588
55.792661,-2.184973
55.823526,-4.387962
55.111149,-3.373197
56.069093,-3.664098
55.810143,-2.392476
55.137189,-3.452528
55.545227,-4.371054
55.137001,-3.468209
55.083991,-4.030296
55.584257,-4.659051
57.679419,-3.50245
55.959814,-2.954594
56.40922,-2.933407
56.741473,-3.775464
56.769653,-2.778728
55.778214,-3.173355
55.758274,-3.363982
56.382854,-2.851789
55.576762,-2.31084
55.924102,-4.298104
56.063664,-4.515252
57.070448,-4.005597
55.171355,-3.595081
55.600937,-2.882374
56.371526,-3.142956
57.509774,-3.412008
57.5729,-4.049889
56.27336,-3.834464
57.298863,-3.752449
55.785468,-4.002844
55.667948,-4.044537
57.318813,-3.603943
57.109343,-7.296008
55.691629,-2.757155
57.842157,-3.770339
57.05785,-2.652857
57.337397,-3.554911
55.663171,-3.77401
55.957854,-3.899604
57.475094,-4.252894
56.211713,-2.912479
56.62674,-3.623363
57.181202,-3.813053
56.174245,-4.377478
57.458704,-4.410273
55.581725,-3.040576
57.33976,-4.518805
55.835218,-4.692135
55.827379,-4.180627
55.780755,-4.273707
55.809703,-4.163679
56.182911,-4.394129
55.739586,-3.427043
55.776228,-4.018315
57.27825,-4.448234
55.943235,-4.235179
57.305659,-3.57847
57.098164,-3.957569
57.574403,-4.468098
55.216916,-4.60304
55.91349,-4.809593
56.145036,-3.329366
55.342829,-3.53889
55.611041,-4.216236
55.921788,-3.193692
54.89031,-3.771057
57.009975,-3.080138
