Year,Month,Site,Type,Easting,Northing,PM10,PM10_modelled,Hurs,Psl,Rainfall,SfcWind,Sun,Tas,NDVI,UR,PopDen,nearest_road_distance
2016,1,Edinburgh Tower Street,Roadside,327459.8,676530.8,NA,11.93011,86.64978259,1001.961538,107.8215307,6.796987604,31.09251995,5.205667823,0.247544,Rural Areas,0.005556022,90.90101946
2016,1,Falkirk Banknock,Roadside,277247,679027,9.54516129,9.244809,89.18870442,1001.911281,203.8072273,4.690796362,20.50064106,3.527438209,0.65774668,Rural Areas,0.000168837,6.806042503
2016,1,Falkirk Graham's Road,Roadside,288822,680241,11.91851852,10.4761,88.28817023,1001.915255,181.8209282,4.648882655,20.11525255,4.479753089,0.52327612,Rural Areas,0.00230096,18.15367331
2016,1,Falkirk Grangemouth MC,Rest,292818.05,682006.92,12.14814815,10.3494,87.88140008,1001.899776,166.9197682,4.83879919,19.65070377,4.840976397,0.38005268,Rural Areas,0.000494242,43.16050621
2016,1,Falkirk Haggs,Roadside,278977,679271,13.05806452,11.06707,89.13314414,1001.913599,209.1535333,4.550817741,20.47689237,3.631847818,0.7415616,Other Urban Areas,0.001141593,6.344912512
2016,1,Falkirk Hope St,Roadside,288688.39,680219.33,NA,10.4761,88.28817023,1001.915255,181.8209282,4.648882655,20.11525255,4.479753089,0.52327612,Rural Areas,0.00230096,9.767545758
2016,1,Falkirk Main St Bainsford,Roadside,288563.7,681516.1,12.27857143,10.53836,88.32486306,1001.916525,180.5097336,4.62750598,19.87290642,4.485298558,0.54983444,Other Urban Areas,0.003891477,7.609453912
2016,1,Falkirk West Bridge Street,Roadside,288457,680064,13.82903226,10.4761,88.28817023,1001.915255,181.8209282,4.648882655,20.11525255,4.479753089,0.52327612,Other Urban Areas,0.00230096,7.354256285
2016,1,Fife Cupar,Roadside,337369.34,714578.52,15.93333333,10.49256,89.42957246,1002.012947,161.3213348,4.153426241,27.11624463,3.916039376,0.36398896,Rural Areas,0.003053321,6.010415946
2016,1,Fife Dunfermline,Roadside,309924.49,687724.72,13.99677419,10.66972,87.70529347,1001.876931,166.870372,6.177679621,17.54045345,4.127812532,0.91831904,Rural Areas,0.002810611,11.15464231
2016,1,Fife Kirkcaldy,Roadside,329143.57,692986.35,12.26129032,8.896281,88.24885371,1001.989784,136.184028,6.674949298,25.71247015,4.71459479,0.25535228,Rural Areas,0.002052568,11.68128734
2016,1,Fife Rosyth,Roadside,311770.51,683501.59,10.15483871,11.20072,87.21756095,1001.85854,125.8592058,5.796271832,25.3187962,4.660831004,0.48894388,Rural Areas,0.003752911,10.58146139
2016,1,Glasgow Abercromby Street,Roadside,260421.31,664179.65,11.88064516,10.89931,87.5814805,1001.969361,180.9551384,3.933501883,23.15885081,5.339698804,0.42594936,Rural Areas,0.005074533,5.364922366
2016,1,Glasgow Anderston,Rest,257940.81,665497.95,14.475,12.54195,87.7935254,1001.936373,158.2977393,4.262608133,23.81868956,5.516396784,0.19244136,Rural Areas,0.00708588,46.64159378
2016,1,Glasgow Broomhill,Roadside,255030.58,667194.37,12.53225806,10.13996,88.05696734,1001.89219,158.4995504,4.478429769,24.12692601,4.986868351,0.3430306,Rural Areas,0.007687907,11.13139765
2016,1,Glasgow Burgher St,Roadside,262549.48,664168.91,16.44230769,10.19723,87.62568147,1001.979694,175.7254665,3.887742953,22.66169969,5.035677215,0.4157532,Rural Areas,0.002918921,8.538160264
2016,1,Glasgow Byres Road,Roadside,256526.91,666936.95,10.13225806,10.25663,87.98347107,1001.916863,160.7654667,4.348631672,24.06345161,5.259416273,0.30483074,Rural Areas,0.008033421,9.448460622
2016,1,Glasgow Dumbarton Road,Roadside,255030,666608,14.30645161,10.69954,88.01875979,1001.900616,164.6285049,4.260014019,24.24040647,5.126033703,0.36103076,Large Urban Areas,0.010215927,9.621623143
2016,1,Glasgow High Street,Roadside,260014.1,665348.9,12.15483871,12.08232,87.6794532,1001.964093,178.4552006,4.345121921,23.08574979,5.16695265,0.25763374,Large Urban Areas,0.005010073,13.7337869
2016,1,Glasgow Kerbside,Kerbside,258713.92,665194.51,NA,11.73638,87.74383047,1001.947179,157.0151234,4.392469901,23.55751845,5.469500569,0.10626608,Rural Areas,0.003820828,286.6771733
2016,1,Glasgow Nithsdale Road,Roadside,257886.88,662669.31,13.15172414,10.08283,87.82326119,1001.946994,158.9950176,4.008204837,23.86792182,4.854575069,0.34386424,Rural Areas,0.007081626,9.431613068
2016,1,Glasgow Townhead,Rest,259692.6,665899.13,10.48846154,10.5857,87.72956739,1001.956441,171.6261843,4.304254806,23.38173729,5.406482831,0.25763374,Rural Areas,0.00823493,286.2007658
2016,1,Glasgow Waulkmillglen Reservoir,Rest,252455.25,658157.36,9.7,8.898339,89.15402442,1001.894385,222.2084335,4.013622157,25.09301038,4.452765474,0.57556108,Rural Areas,0.000584924,703.3625679
2016,1,Grangemouth,Industrial,293829.88,681020.65,10.56129032,10.28637,87.86775022,1001.894002,168.3227809,4.918229685,20.30496856,4.852714979,0.54183316,Rural Areas,0.002763145,276.6920559
2016,1,Inverclyde Greenock A8,Roadside,229331.5,675714.7,12.86774194,8.545309,86.36093295,1001.451808,232.381209,6.249550155,22.99577464,5.047080813,0.29859116,Other Urban Areas,0.003106301,2.984158052
2016,1,Inverness,Roadside,265708.85,845668.85,NA,8.322395,84.14671862,1000.981759,76.86925139,3.994241488,26.99628441,4.212720098,0.35144772,Rural Areas,0.003393486,9.161786596
2016,1,N Lanarkshire Airdrie Kenilworth Dr,Roadside,277385.6,665831.3,NA,10.45659,88.62247323,1001.965651,157.790285,5.495215023,20.48669676,3.636732479,0.37121144,Other Urban Areas,0.003607977,14.81314762
2016,1,N Lanarkshire Chapelhall,Roadside,278168.64,663115.23,NA,10.72488,88.65834338,1001.969172,158.8504362,5.179028553,20.34531585,3.791168999,0.27896234,Rural Areas,0.000461791,3.193975307
2016,1,N Lanarkshire Coatbridge Sunnyside Rd,Roadside,273054,665234.7,NA,10.09044,88.42227393,1001.973824,143.1947672,4.733265455,21.03317782,3.874247517,0.39727788,Other Urban Areas,0.003444783,11.55067351
2016,1,N Lanarkshire Coatbridge Whifflet,Rest,273674.95,663927.14,10.22258065,11.09413,88.04649811,1001.980302,153.0819024,4.607459588,20.5993951,3.980230925,0.34908336,Rural Areas,0.004154454,16.13114014
2016,1,N Lanarkshire Croy,Roadside,272770.4,675740.3,12.64090909,9.241319,89.02565238,1001.917391,192.1911898,4.678942577,20.18478152,3.753434617,0.59424276,Other Urban Areas,0.001112801,9.039749229
2016,1,N Lanarkshire Kirkshaws,Roadside,272522.8,663029.8,10.02580645,10.8661,88.11887309,1001.981477,153.5450266,4.424145405,20.8750683,4.039067349,0.38701076,Other Urban Areas,0.005226798,32.05366888
2016,1,N Lanarkshire Moodiesburn,Roadside,269929,670386,NA,10.19931,89.23871965,1001.949607,189.4700566,4.6077373,21.47182204,3.908448504,0.5906018,Other Urban Areas,0.002772129,11.22300763
2016,1,N Lanarkshire Motherwell,Roadside,275540.87,656789.09,10.73870968,11.20603,88.32762658,1001.992052,197.1945517,3.94633436,20.42846363,3.980738696,0.37624388,Rural Areas,0.002828871,81.53773543
2016,1,N Lanarkshire Motherwell Adele St,Roadside,275642.3,656147.7,NA,11.20603,88.32762658,1001.992052,197.1945517,3.94633436,20.42846363,3.980738696,0.35284636,Large Urban Areas,0.002828871,7.076146906
2016,1,N Lanarkshire Motherwell Civic Centre,Rest,275813.6,656235.48,NA,11.20603,88.32762658,1001.992052,197.1945517,3.94633436,20.42846363,3.980738696,0.35284636,Rural Areas,0.002828871,34.31780023
2016,1,N Lanarkshire Shawhead Coatbridge,Roadside,273411,662997,11,12.46955,87.97519184,1001.982901,155.4674441,4.28073938,20.56522987,4.119362782,0.40497236,Other Urban Areas,0.000753627,19.7483369
2016,1,N Lanarkshire Uddingston New Edinburgh Rd,Roadside,269145.6,661499.7,NA,12.36038,88.22820632,1001.989963,163.0078967,3.669074231,21.53237379,4.348420233,0.47906932,Large Urban Areas,0.003157591,19.34483261
2016,1,North Ayrshire Irvine High St,Kerbside,232142,638892,12.7,9.002791,85.84365407,1001.587681,162.2125105,5.77842187,16.59020795,5.493696554,0.43035536,Other Urban Areas,0.002991044,142.8479924
2016,1,Paisley Gordon Street,Roadside,248316.83,663615.52,14.14333333,9.722612,88.89460238,1001.820221,192.7383417,4.345442808,25.31020095,5.037568862,0.34144624,Rural Areas,0.004200029,13.50052293
2016,1,Paisley St James Street,Roadside,248174.75,664319.96,13.22580645,10.03845,88.84925821,1001.812866,192.8862957,4.302430454,25.07987629,5.056723637,0.29530962,Rural Areas,0.002598182,7.873088614
2016,1,Perth Atholl Street,Roadside,311577.28,723931.02,16.00967742,9.786637,88.88641214,1001.995952,187.901191,3.281003079,16.49901159,3.938550564,0.28111228,Rural Areas,0.005320228,7.541035454
2016,1,Perth Crieff,Roadside,286363,721614,20.67,9.33672,89.75186053,1002.022493,241.6474405,4.448287221,15.43999942,3.497199206,0.0885413,Rural Areas,0.003052405,8.087489738
2016,1,Perth High Street,Roadside,311680.93,723624.9,12.22,9.786637,88.88641214,1001.995952,187.901191,3.281003079,16.49901159,3.938550564,0.50744164,Rural Areas,0.005320228,319.1852353
2016,1,Perth Muirton,Rest,310659.25,725658.62,11.1037037,9.77062,88.76109797,1001.985532,171.1870772,3.021268763,17.10533953,3.871610691,0.2184589,Rural Areas,0.002958338,438.0899472
2016,1,Renfrew Cockels Loan,Roadside,250464,665933,14.18709677,11.0956,88.45395333,1001.834878,162.994647,4.509306416,24.44853948,4.71116787,0.4831108,Large Urban Areas,0.000807133,26.41545805
2016,1,Renfrew Johnston,Roadside,242983.8,663178.1,NA,9.58762,89.95310946,1001.732761,209.3578395,3.898913881,28.19472526,4.571843139,0.44294188,Rural Areas,0.001734262,10.57148928
2016,1,South Ayrshire Ayr Harbour,Roadside,233617.25,622746.05,NA,8.208325,85.23546118,1001.677648,139.2875929,6.142738072,16.31822846,5.582792562,0.31901174,Rural Areas,0.003313132,314.4604262
2016,1,South Ayrshire Ayr High St,Roadside,233720.43,622114.8,12.34782609,8.208325,85.23546118,1001.677648,139.2875929,6.142738072,16.31822846,5.582792562,0.31901174,Rural Areas,0.003313132,20.8577063
2016,1,South Lanarkshire Blantyre,Roadside,268916,657605,NA,10.47414,88.41104062,1001.996719,172.0381732,3.595870576,21.84570904,4.252560085,0.44126784,Other Urban Areas,0.004507435,11.11249079
2016,1,South Lanarkshire Cambuslang,Kerbside,264319,660519,12.27741935,10.21219,88.22654167,1001.993187,182.8458202,3.553429566,22.66238328,4.69331523,0.39134972,Large Urban Areas,0.003260058,7.878133166
2016,1,South Lanarkshire East Kilbride,Roadside,264384.55,655669.44,13.2,10.40251,88.40502556,1001.987771,201.7777073,4.629450216,22.14727859,4.022850677,0.54374508,Rural Areas,0.003947225,4.914430819
2016,1,South Lanarkshire Hamilton,Roadside,272298,655289,14.79130435,10.89328,88.48739761,1001.993977,178.2916602,3.166375798,21.43082343,4.182148207,0.4099824,Other Urban Areas,0.002328911,6.74367849
2016,1,South Lanarkshire Lanark,Kerbside,288427.04,643700.54,8.683333333,9.228241,90.92359341,1002.05948,179.8086072,6.29711184,19.51325647,3.225229336,0.18260374,Rural Areas,0.002411705,3.606069758
2016,1,South Lanarkshire Raith Interchange 2,Roadside,271063.1,658087,NA,12.42551,88.04291677,1001.992048,171.8176074,3.204582121,21.10976847,4.40382815,0.462432,Rural Areas,0.000333639,35.00838955
2016,1,South Lanarkshire Rutherglen,Roadside,261113.75,661690.5,16.06774194,10.87698,87.93402047,1001.982871,182.5729118,3.775469956,23.18023126,4.867122371,0.34952336,Rural Areas,0.004235152,10.42225267
2016,1,South Lanarkshire Uddingston,Roadside,269657,660305.7,7.532258065,10.34078,88.2429364,1001.991379,166.3632275,3.566559784,21.51269878,4.364678408,0.55479972,Other Urban Areas,0.003012259,7.476428806
2016,1,Stirling Craig's Roundabout,Roadside,279955,693012,13.92777778,9.427147,88.94076076,1001.900274,171.5367308,4.413952697,17.15749315,4.700538737,0.29624444,Other Urban Areas,0.003784422,23.09566273
2016,1,West Dunbartonshire Clydebank,Roadside,249721.28,672046.49,7.9,9.839438,89.64101903,1001.752339,176.8521531,4.992718582,26.72860595,4.296534815,0.52138212,Rural Areas,0.00327771,29.32199251
